,attribute,importance
0,credit_history,0.14227642276422767
1,property_area,0.007317073170731714
2,applicant_income,0.006504065040650431
3,loan_amount,0.004065040650406549
4,loan_amount_term,0.0008130081300813385
5,education,-0.004065040650406471
6,gender,-0.004878048780487765
7,self_employed,-0.005691056910569059
8,married,-0.007317073170731681
9,coapplicant_income,-0.008130081300812964
10,dependents,-0.008130081300812986
