,attribute,importance
0,credit_history,0.1528455284552845
1,applicant_income,0.005691056910569059
2,loan_amount,0.0032520325203251655
3,property_area,0.0
4,education,-1.1102230246251566e-17
5,gender,-2.2204460492503132e-17
6,loan_amount_term,-3.3306690738754695e-17
7,coapplicant_income,-0.003252032520325243
8,self_employed,-0.008943089430894358
9,married,-0.009756097560975664
10,dependents,-0.011382113821138273
